"App name","Usage time","Access count"
"YouTube","1:20:36","14"
"Messages","0:10:19","15"
"Chrome","0:07:14","13"
"Samsung Experience Home","0:05:19","43"
"Slack","0:05:12","6"
"Clock","0:03:00","4"
"Smarter Time","0:02:52","8"
"My Phone Time","0:02:04","28"
"App Usage","0:01:41","6"
"Package installer","0:00:59","4"
"Contacts","0:00:46","5"
"Settings","0:00:37","3"
"System UI","0:00:30","1"
"Email","0:00:30","2"
"Gmail","0:00:16","1"
"Phone","0:00:12","1"
"Google Play services","0:00:08","1"
"Calculator","0:00:06","1"
""
"Date","Usage time"
"10/25/18","2:02:23"
""
"Usage history, October 25, 2018"
"Created by App Usage on Thursday, October 25, 2018, 2:46 PM"
