"App name","Usage time","Access count"
"YouTube","5:09:04","60"
"Chrome","1:47:09","61"
"Messages","0:31:25","62"
"Google Play Music","0:24:26","26"
"Samsung Experience Home","0:22:16","152"
"Slack","0:19:58","26"
"Phone","0:19:45","14"
"My Phone Time","0:16:27","137"
"App Usage","0:08:17","25"
"Gmail","0:08:07","20"
"Contacts","0:06:28","39"
"Messenger","0:06:16","3"
"Smarter Time","0:05:21","15"
"Hangouts","0:04:16","14"
"Facebook","0:04:14","3"
"Clock","0:03:17","5"
"Canvas Student","0:02:54","4"
"Adobe Acrobat","0:02:11","2"
"System UI","0:01:50","14"
"USAA","0:01:44","4"
"Gallery","0:01:26","4"
"Video Player","0:01:15","1"
"Package installer","0:01:01","5"
"Sheets","0:00:50","1"
"Settings","0:00:38","4"
"Google Play services","0:00:37","3"
"Email","0:00:30","2"
"Google Play Store","0:00:30","1"
"Photos","0:00:23","1"
"Google","0:00:20","2"
"Camera","0:00:16","4"
"Drive","0:00:10","2"
"Calculator","0:00:06","1"
""
"Date","Usage time"
"10/27/18","3:03:21"
"10/26/18","2:29:46"
"10/25/18","4:40:22"
""
"Usage history, October 27, 2018 - October 25, 2018"
"Created by App Usage (PRO) on Saturday, October 27, 2018, 2:07 PM"
