Date,Timestamp UTC ms,Time,Latitude,Longitude,Place,MoveAccuracy
20181006,1538839989489,"Sat Oct 06 11:33:09 EDT 2018",28.039200139599604,-82.3978310125384,"home",MOVE_NOMOVE,21
20181006,1538840340141,"Sat Oct 06 11:39:00 EDT 2018",28.038891373981524,-82.39787555006114,"home",MOVE_NOMOVE,23
20181006,1538863503907,"Sat Oct 06 18:05:03 EDT 2018",28.0472929,-82.3960615,"",MOVE_VEHICLE,16
20181006,1538863950000,"Sat Oct 06 18:12:30 EDT 2018",28.0470395,-82.3959435,"",MOVE_VEHICLE,3
20181006,1538863971000,"Sat Oct 06 18:12:51 EDT 2018",28.047057,-82.3942449,"",MOVE_VEHICLE,3
20181006,1538864018000,"Sat Oct 06 18:13:38 EDT 2018",28.04761,-82.3935595,"",MOVE_VEHICLE,3
20181006,1538864059000,"Sat Oct 06 18:14:19 EDT 2018",28.0536969,-82.3935625,"",MOVE_VEHICLE,6
20181006,1538864080000,"Sat Oct 06 18:14:40 EDT 2018",28.0543431,-82.3914893,"",MOVE_VEHICLE,3
20181006,1538864342000,"Sat Oct 06 18:19:02 EDT 2018",28.0539815,-82.3586164,"",MOVE_VEHICLE,3
20181006,1538864363000,"Sat Oct 06 18:19:23 EDT 2018",28.0513438,-82.3550357,"",MOVE_VEHICLE,3
20181006,1538864384000,"Sat Oct 06 18:19:44 EDT 2018",28.046935,-82.3525392,"",MOVE_VEHICLE,3
20181006,1538864405000,"Sat Oct 06 18:20:05 EDT 2018",28.0412171,-82.3512352,"",MOVE_VEHICLE,3
20181006,1538864426000,"Sat Oct 06 18:20:26 EDT 2018",28.0355653,-82.3482427,"",MOVE_VEHICLE,3
20181006,1538864508000,"Sat Oct 06 18:21:48 EDT 2018",28.0167199,-82.3305918,"",MOVE_VEHICLE,3
20181006,1538864529000,"Sat Oct 06 18:22:09 EDT 2018",28.0108054,-82.328277,"",MOVE_VEHICLE,3
20181006,1538864706610,"Sat Oct 06 18:25:06 EDT 2018",27.9602116,-82.3269368,"",MOVE_VEHICLE,7
20181006,1538864749000,"Sat Oct 06 18:25:49 EDT 2018",27.9487512,-82.3287567,"",MOVE_VEHICLE,3
20181006,1538864770000,"Sat Oct 06 18:26:10 EDT 2018",27.9448362,-82.3304515,"",MOVE_VEHICLE,3
20181006,1538864790000,"Sat Oct 06 18:26:30 EDT 2018",27.9431489,-82.3325018,"",MOVE_VEHICLE,3
20181006,1538864832000,"Sat Oct 06 18:27:12 EDT 2018",27.9448351,-82.3374944,"",MOVE_WALK,3
20181006,1538864852000,"Sat Oct 06 18:27:32 EDT 2018",27.9438934,-82.3385365,"",MOVE_WALK,3
20181006,1538864873000,"Sat Oct 06 18:27:53 EDT 2018",27.9432057,-82.3390228,"",MOVE_WALK,5
20181006,1538864894000,"Sat Oct 06 18:28:14 EDT 2018",27.9431949,-82.3397632,"",MOVE_WALK,3
20181006,1538864914000,"Sat Oct 06 18:28:34 EDT 2018",27.9428333,-82.3398532,"",MOVE_WALK,3
20181006,1538871727253,"Sat Oct 06 20:22:07 EDT 2018",27.9429799,-82.3401154,"MD Oriental Market",MOVE_WALK,36
20181006,1538871927931,"Sat Oct 06 20:25:27 EDT 2018",27.9428744,-82.3398303,"MD Oriental Market",MOVE_WALK,16
20181006,1538872014895,"Sat Oct 06 20:26:54 EDT 2018",27.9425013,-82.3399241,"MD Oriental Market",MOVE_WALK,12
20181006,1538872034932,"Sat Oct 06 20:27:14 EDT 2018",27.9423498,-82.3398129,"MD Oriental Market",MOVE_WALK,9
20181006,1538872461296,"Sat Oct 06 20:34:21 EDT 2018",27.9422161,-82.3399706,"",MOVE_VEHICLE,23
20181006,1538873056588,"Sat Oct 06 20:44:16 EDT 2018",27.943399088366764,-82.33672030239883,"",MOVE_VEHICLE,61
20181006,1538873457581,"Sat Oct 06 20:50:57 EDT 2018",27.9440185,-82.3355866,"",MOVE_NOMOVE,5
20181006,1538874372236,"Sat Oct 06 21:06:12 EDT 2018",28.0474535,-82.3970197,"",MOVE_VEHICLE,23
20181006,1538879822448,"Sat Oct 06 22:37:02 EDT 2018",28.038891373981524,-82.39787555006114,"home",MOVE_WALK,22
20181006,1538879822448,"Sat Oct 06 22:37:02 EDT 2018",28.038891373981524,-82.39787555006114,"home",MOVE_WALK,22
20181007,1538944120154,"Sun Oct 07 16:28:40 EDT 2018",28.0387265,-82.3977767,"home",MOVE_WALK,22
20181007,1538944200074,"Sun Oct 07 16:30:00 EDT 2018",28.038891373981524,-82.39787555006114,"",MOVE_NOMOVE,8
20181007,1538944322147,"Sun Oct 07 16:32:02 EDT 2018",28.0399525,-82.4037301,"",MOVE_VEHICLE,26
